id;categoria;descricao;created;modified
1;protocol Buckinghamshire;holistic web;2023-10-18T05:47:46;2023-10-18T01:53:36
2;Executive;Hong Madeira;2023-10-17T20:40:13;2023-10-17T17:45:58
3;Automotivo hacking Ergonômico;Principal blockchains;2023-10-18T07:22:35;2023-10-18T08:53:35
4;Realigned;Re-contextualized Computador productize;2023-10-18T05:13:27;2023-10-17T15:16:20
5;Acre eyeballs Chief;pixel;2023-10-18T02:35:21;2023-10-18T11:12:13
6;mobile Technician São;Avon;2023-10-18T10:55:29;2023-10-18T05:47:06
7;alarm up;Directives Rupee Amapá;2023-10-18T07:12:18;2023-10-18T07:15:19
8;Líbia Algodão JSON;Queijo Future deliver;2023-10-17T16:33:30;2023-10-18T04:42:23
9;Salgadinhos;Salsicha;2023-10-17T18:33:22;2023-10-18T01:08:45
10;invoice;calculate;2023-10-17T14:12:00;2023-10-17T19:16:51
