id;nome;descricao;status;created;modified
1;Chief Borracha Forward;process wireless;Inativo;2023-10-18T11:42:09;2023-10-17T14:36:55
2;celeste Rodovia;Consultant;Inativo;2023-10-18T00:36:33;2023-10-17T23:28:18
3;expedite wireless Dollar;executive Organized;Ativo;2023-10-17T17:22:33;2023-10-18T04:41:43
4;overriding compressing;input extend;Bloqueado;2023-10-18T02:22:53;2023-10-17T14:03:16
5;generation Facilitator Aço;Teclado Right-sized;Inativo;2023-10-17T15:27:14;2023-10-18T05:47:55
6;Grande Goiás;client-driven invoice withdrawal;Inativo;2023-10-18T04:28:05;2023-10-18T08:38:07
7;Borders Minas;Madeira vortals website;Inativo;2023-10-18T01:28:09;2023-10-17T17:03:33
8;evolve Officer Forint;Chile;Ativo;2023-10-18T12:38:29;2023-10-18T04:46:40
9;marca Granito;Market Loan;Ativo;2023-10-18T01:56:50;2023-10-17T23:25:45
10;Coordinator driver;Fresco Travessa bus;Bloqueado;2023-10-17T14:39:47;2023-10-17T22:31:44
