id;nome;descricao;endereco;created;modified
1;Macio;Cadeira Borracha Madeira;Operations payment;2023-10-11T06:29:24;2023-10-11T00:18:03
2;Public-key Travessa Metal;local;optical Rua;2023-10-11T14:05:13;2023-10-10T21:00:15
3;Luvas Cambridgeshire virtual;Avenida Account;Seamless Ruble;2023-10-11T13:29:34;2023-10-11T11:20:08
4;Direct Bedfordshire Inteligente;Global Licenciado mão;Rua solution Technician;2023-10-10T21:52:54;2023-10-11T12:57:10
5;Madeira Lindo;Território Tugrik escarlate;quantify Re-contextualized Atum;2023-10-10T23:03:19;2023-10-11T18:55:30
6;Bicicleta Mesa;Macio Web;human-resource Alameda Lustroso;2023-10-11T00:48:59;2023-10-11T16:17:18
7;Carro rich;web-enabled Borders;Grande;2023-10-11T11:00:05;2023-10-11T15:39:57
8;Bebê multi-byte;Markets maximize compressing;Checking capability;2023-10-11T02:27:18;2023-10-11T05:25:03
9;Forward Ferramentas;invoice Planner;Fresco Bedfordshire Congelado;2023-10-11T13:49:27;2023-10-11T08:59:58
10;cutting-edge Lead Communications;Director 24/7 full-range;Rua calculating Aruba;2023-10-11T15:01:51;2023-10-11T02:51:57
