id;motivo_reserva;descricao;num_pessoas;status;data;somente_funcionarios;created;modified
1;generate web-enabled Jogos;Loan indexing haptic;25551;Agendado;2023-10-24;false;2023-10-24T23:09:59;2023-10-24T07:25:02
2;ROI;Macio;12793;Bloqueado;2023-10-24;true;2023-10-24T10:22:19;2023-10-24T16:34:59
3;asymmetric Creative;Mesa;77784;Bloqueado;2023-10-24;false;2023-10-24T10:44:52;2023-10-24T14:22:07
4;asymmetric;schemas bus;36291;Bloqueado;2023-10-24;true;2023-10-24T23:07:32;2023-10-24T10:22:50
5;auxiliary bluetooth;hub e-business;31142;Cancelado;2023-10-24;true;2023-10-24T10:52:37;2023-10-24T13:07:31
6;Rua Rodovia Automotivo;azul cobre;27676;Agendado;2023-10-24;true;2023-10-24T11:25:48;2023-10-24T15:28:55
7;Investor;interactive Uruguai quantify;70868;Bloqueado;2023-10-24;false;2023-10-24T06:23:37;2023-10-24T17:55:32
8;SSL Rial;integrated;81778;Bloqueado;2023-10-24;false;2023-10-24T10:26:40;2023-10-24T20:06:38
9;Lustroso Santa navigating;Macio;19035;Agendado;2023-10-24;true;2023-10-24T14:01:52;2023-10-24T02:03:16
10;Irlanda Bacon;copying Interface implement;77404;Cancelado;2023-10-24;false;2023-10-24T05:49:36;2023-10-24T16:38:25
